Job Title,Company,Location,Experience,Salary,Link
Data Scientist,Hbic Solutions,Hyderabad,0-2 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-hbic-solutions-hyderabad-0-to-2-years-270723501100
Data Scientist,ADQ Services,Hyderabad,4-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-adq-services-hyderabad-4-to-7-years-270225501488
Data Engineer - Power BI,Tiger Analytics,"Hyderabad, Chennai",5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-power-bi-tiger-analytics-hyderabad-chennai-5-to-10-years-221022500687
Data Scientist,Leokraft Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-leokraft-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-210225503399
Data Scientist,Amgen Inc,Hyderabad,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-horizon-therapeutics-hyderabad-8-to-13-years-151025500135
Data Scientist ( Commercial),Amgen Inc,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-commercial-amgen-inc-hyderabad-3-to-5-years-141125921018
Data Engineer ( Celonis),Amgen Inc,Hyderabad,5-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-celonis-amgen-inc-hyderabad-5-to-9-years-141125921012
Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-amgen-inc-hyderabad-3-to-7-years-141125921007
Data Scientist,Leading Client,"Hyderabad, Gurugram, Bengaluru",2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-capital-placement-services-hyderabad-gurugram-bengaluru-2-to-7-years-141125916447
Data Scientist,Supplycopia Software Services,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-supplycopia-software-services-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-130525502970
Data Engineer,Amgen Inc,Hyderabad,5-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-amgen-inc-hyderabad-5-to-9-years-121125931487
Data Engineer,Amgen Inc,Hyderabad,5-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-engineer-amgen-inc-hyderabad-5-to-9-years-111125934273
CDNA_Data Scientist Data Science & Measurement,Amgen Inc,Hyderabad,3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-cdna-data-scientist-data-science-measurement-horizon-therapeutics-hyderabad-3-to-5-years-080925500977
Data Scientist-Artificial Intelligence,IBM,Bengaluru,5-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-091225927650
Data Scientist-Artificial Intelligence,IBM,Pune,5-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-5-to-7-years-091225927626
S&C Global Network - AI - Retail - Consultant - Data Scientist,Accenture,Gurugram,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-4-to-9-years-081225919362
S&C Global Network - AI - Retail - Consultant - Data Scientist,Accenture,Gurugram,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-3-to-7-years-081225919360
Data Scientist,Client of Upgard,Chennai,2-6 Yrs,10-20 Lacs PA,https://www.naukri.com/job-listings-data-scientist-rekrut-india-chennai-2-to-6-years-131125034091
Data Analyst and Statistician,PI Industries,Gurugram,0-4 Yrs,4-5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-and-statistician-pi-industries-gurugram-0-to-4-years-021225011478
Data Scientist,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",10-20 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-chennai-bengaluru-10-to-20-years-091225036244
Data Scientist,msysinc,"Hybrid - Hyderabad, Chennai, Bengaluru",3-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-msys-hyderabad-chennai-bengaluru-3-to-6-years-091225031679
Data Scientist,Epam Systems,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-epam-systems-hyderabad-chennai-bengaluru-6-to-10-years-081225022387
Data Scientist/AI ML Developer,Cloud Angles Digital Transformation,Hyderabad,4-8 Yrs,15-27.5 Lacs PA,https://www.naukri.com/job-listings-data-scientist-ai-ml-developer-cloud-angles-digital-transformation-hyderabad-4-to-8-years-081225015395
Data Scientist,Prudent Globaltech Solutions,Hyderabad,8-13 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-prudent-globaltech-solutions-private-limited-hyderabad-8-to-13-years-020725928199
AIML Engineer & Data Scientist,Cloud Angles Digital Transformation,Hyderabad,3-8 Yrs,15-30 Lacs PA,https://www.naukri.com/job-listings-aiml-engineer-data-scientist-cloud-angles-digital-transformation-hyderabad-3-to-8-years-251125013843
Data Scientist For Pune Location,Excellon Software,Pune(Bavdhan),10-15 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-for-pune-location-excellon-software-pune-10-to-15-years-281125034663
Data Scientist,Cerebulb,Gandhinagar,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-cerebulb-india-private-limited-gandhinagar-2-to-7-years-251125910231
S&C Global Network - AI - Retail - Consultant - Data Scientist,Accenture,Gurugram,3-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-retail-consultant-data-scientist-accenture-solutions-pvt-ltd-gurugram-3-to-7-years-011225917317
Data Scientist -  DAT(DE),Societe Generale Global Solution Centre,Bengaluru,2-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-dat-de-societe-generale-global-solution-centre-bengaluru-2-to-6-years-261125503491
Data Analyst,Quarks Technosoft,Noida,5-10 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-quarks-noida-5-to-10-years-190925500929
Data Analyst,Spectrum Filtration,Kolkata,2-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-spectrum-filtration-pvt-ltd-kolkata-2-to-5-years-180925501985
Data Analyst - Climate,ISS Corporate Solutions,Mumbai,2-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-climate-iss-corporate-solutions-mumbai-2-to-3-years-141125500652
Data Analyst,Analytics Vidhya,Gurugram,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-analytics-vidhya-educon-pvt-ltd-gurugram-1-to-3-years-091025500308
Data Analyst,Digital Solution Tech,Faridabad,1-4 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-digital-solution-tech-faridabad-1-to-4-years-060825503347
Data Analyst,Rubick.AI,Bengaluru,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-rubick-bengaluru-1-to-3-years-031125502244
Data Analyst,Solventum,Bengaluru,1-3 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-solventum-bengaluru-1-to-3-years-120325502989
Data Analyst,Pioneer Infotech,Mumbai,2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-analyst-pioneer-infotech-p-ltd-mumbai-2-to-7-years-070125500600
Data Scientist,Genpact,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",4-9 Yrs,9-19 Lacs PA,https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-bengaluru-delhi-ncr-4-to-9-years-170925012727
Urgent Hiring For Data Scientist At Kolkata,Large MNC,"Hybrid - Kolkata, Hyderabad, Bengaluru",3-6 Yrs,8-17 Lacs PA,https://www.naukri.com/job-listings-urgent-hiring-for-data-scientist-at-kolkata-clarity-consulting-kolkata-hyderabad-bengaluru-3-to-6-years-061225012199
Data Scientist,Tata Consultancy Services,Hyderabad,4-6 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-4-to-6-years-061225009943
Data Scientist (Python),Algoleap Technologies,Hyderabad,5-8 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-python-algoleap-technologies-pvt-ltd-hyderabad-5-to-8-years-051225029811
Data Scientist,fifthnote,Remote,3-6 Yrs,8-18 Lacs PA,https://www.naukri.com/job-listings-data-scientist-fifthnote-hyderabad-3-to-6-years-041225028093
Data Scientist,Platinus Technologies,"New Delhi, Hyderabad, United Arab Emirates",1-4 Yrs,"50,000-2.75 Lacs PA",https://www.naukri.com/job-listings-data-scientist-platinus-technologies-new-delhi-hyderabad-united-arab-emirates-1-to-4-years-041225026106
Data Scientist,Cotiviti,Hybrid - Hyderabad,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-cotiviti-hyderabad-4-to-9-years-031225025151
Data Scientist,QYLIS,Hyderabad,3-8 Yrs,10-20 Lacs PA,https://www.naukri.com/job-listings-data-scientist-qylis-hyderabad-3-to-8-years-031225017936
Data Scientist,Macpro Business Services India Pvt Ltd,Hyderabad(Uppal),3-5 Yrs,Not Disclosed,https://www.naukri.com/job-listings-data-scientist-macpro-business-services-hyderabad-3-to-5-years-031225003595
AI ML Developer/Data Scientist,Cloud Angles Digital Transformation,Hyderabad(Madhapur),3-8 Yrs,15-30 Lacs PA,https://www.naukri.com/job-listings-ai-ml-developer-data-scientist-cloud-angles-digital-transformation-hyderabad-3-to-8-years-261125015688
AI Engineer/Data Scientist(max 60 days notice period),PwC Service Delivery Center,"Hyderabad, Pune, Bengaluru",2-7 Yrs,Not Disclosed,https://www.naukri.com/job-listings-ai-engineer-data-scientist-max-60-days-notice-period-pwc-service-delivery-center-hyderabad-pune-bengaluru-2-to-7-years-081125000082
Middle AI Engineer / Data Scientist,Miratech,Hyderabad,4-9 Yrs,Not Disclosed,https://www.naukri.com/job-listings-middle-ai-engineer-data-scientist-miratech-hyderabad-4-to-9-years-021225500237
